word,count
you,40
gonna,38
never,36
and,16
tell,9
we,9
make,8
say,8
a,7
i,7
around,6
cry,6
desert,6
down,6
give,6
goodbye,6
hurt,6
let,6
lie,6
re,6
run,6
up,6
know,5
s,5
been,4
it,4
m,4
to,4
feeling,3
how,3
other,3
so,3
the,3
too,3
what,3
aching,2
both,2
but,2
each,2
for,2
game,2
going,2
gotta,2
heart,2
inside,2
just,2
known,2
long,2
me,2
on,2
play,2
shy,2
t,2
understand,2
ve,2
wanna,2
your,2
any,1
ask,1
blind,1
commitment,1
do,1
don,1
from,1
full,1
get,1
guy,1
if,1
love,1
no,1
of,1
rules,1
see,1
strangers,1
thinkin,1
this,1
wouldn,1
